MARCA,VALOR,PARTIDA_ARANCELARIA
KEYSTONE,LMK,4011.40.00.00
FORTUNE,LQFR,4011.20.10.00
FARROAD,LPFD,4011.10.10.00
FORTUNE,LQFL,4011.10.90.00
CST,LNCC,4011.20.90.00
APLUS,LOAQ,4011.20.90.00
APLUS,LOAQ,4011.20.10.00
HAOHUA,LOHC,4011.20.10.00
APLUS,LOAP,4011.10.10.00
ANTARES,LTAN,4011.10.90.00
ROADWING,LRWR,4011.20.10.00
HAOHUA,LOHC,4011.20.90.00
ANTARES,LTAN,4011.10.10.00
BYCROSS,LSBY,4011.20.90.00
BAYI,LSBC,4011.20.10.00
ROADWING,LRWR,4011.20.90.00
CST,LNMC,4011.40.00.00
ANSU,LSAC,4011.20.10.00
CST,LNC,4011.10.90.00
ANSU,LSAC,4011.20.90.00
ROADCRUZA,LRDL,4011.10.90.00
MAXTREK,LOMT,4011.10.90.00
APLUS,LOAP,4011.10.90.00
BYCROSS,LSBY,4011.20.10.00
WONDERLAN,LSWC,4011.20.90.00
ROADWING,LRWL,4011.10.90.00
MAXTREK,LOMT,4011.10.10.00
FARROAD,LPFD,4011.10.90.00
ROADCRUZA,LRDL,4011.10.10.00
BAYI,LSBC,4011.20.90.00
CST,LNC,4011.10.10.00
FORTUNE,LQFL,4011.10.10.00
ROADWING,LRWL,4011.10.10.00
WONDERLAN,LSWC,4011.20.10.00
FORTUNE,LQFR,4011.20.90.00
CST,LNCC,4011.20.10.00